ts,ws_temp_f,ws_rh_pct,ws_solar_w_m2,ws_wind_mph,temp_avg,rh_avg,vpd_avg,temp_north,temp_east,temp_west,temp_south,heat1,heat2,fan1,fan2,vent
2025-10-06 06:14:00+00,44.924,,0,1.78954903364352,59.1800003051758,67.6500015258789,0.553939163684845,,59.3600006103516,,,t,f,f,f,f
2025-10-06 06:16:00+00,44.78,,0,0.715819613457409,59.1800003051758,67.625,0.555694222450256,,59.3600006103516,,,t,f,f,f,f
2025-10-06 06:18:00+00,44.78,,0,0.715819613457409,59.0899963378906,67.6750030517578,0.552613198757172,,59.1800003051758,59.1800003051758,,t,f,f,f,f
2025-10-06 06:20:00+00,44.762,,0,0.984251968503937,59.0899963378906,67.625,0.552184104919434,,59.1800003051758,59.1800003051758,,t,f,f,f,f
2025-10-06 06:22:00+00,44.762,,0,0.984251968503937,59.0899963378906,67.5749969482422,0.554747641086578,,,59.1800003051758,,t,f,f,f,f
2025-10-06 06:24:00+00,44.744,,0,0.648711524695777,59.1349983215332,67.5500030517578,0.555641710758209,,59.3600006103516,59.1800003051758,,t,f,f,f,f
2025-10-06 06:26:00+00,44.744,,0,0.648711524695777,59.0899963378906,67.625,0.553897678852081,,59.1800003051758,59.1800003051758,,t,f,f,f,f
2025-10-06 06:28:00+00,44.744,,0,0.648711524695777,59.0449981689453,67.6750030517578,0.552160978317261,58.8199996948242,,,,t,f,f,f,f
2025-10-06 06:30:00+00,44.636,,0,2.55010737294202,59.0899963378906,67.75,0.552181363105774,59,,,,t,f,f,f,f
2025-10-06 06:34:00+00,44.6,,0,0,59,67.8249969482422,0.548713326454163,58.8199996948242,,,58.8199996948242,t,f,f,f,f
2025-10-06 06:36:00+00,44.6,,0,0,59,67.75,0.549566030502319,,,,58.8199996948242,t,f,f,f,f
2025-10-06 06:40:00+00,44.744,,0,0.917143879742305,59,67.8000030517578,0.549571514129639,,59,,,t,f,f,f,f
2025-10-06 06:42:00+00,44.744,,0,0.917143879742305,58.9550018310547,67.75,0.548687934875488,,59.1800003051758,,,t,f,f,f,f
2025-10-06 06:44:00+00,44.798,,0,0.581603435934145,58.9550018310547,67.7749938964844,0.550396025180817,,59,,,t,f,f,f,f
2025-10-06 06:46:00+00,44.798,,0,0.581603435934145,58.9099998474121,67.8499984741211,0.546517074108124,,,59,,t,f,f,f,f
2025-10-06 06:48:00+00,44.798,,0,0.581603435934145,58.9099998474121,67.7750015258789,0.547793328762054,,,59.1800003051758,,t,f,f,f,f
2025-10-06 06:50:00+00,44.798,,0,0,58.9099998474121,67.875,0.546090722084045,,59.1800003051758,59,,t,f,f,f,f
2025-10-06 06:52:00+00,44.816,,0,0.492125984251969,58.9099998474121,67.9250030517578,0.545240819454193,,59,,,t,f,f,f,f
2025-10-06 06:58:00+00,44.816,,0,0.492125984251969,58.8649978637695,67.9000015258789,0.544796228408813,58.6399993896484,,,58.6399993896484,t,f,f,f,f
2025-10-06 07:00:00+00,44.69,,0,2.34878310665712,58.9099998474121,67.9250030517578,0.545240759849548,58.8199996948242,,,58.8199996948242,t,f,f,f,f
2025-10-06 07:02:00+00,44.69,,0,2.34878310665712,58.9099998474121,68,0.543967247009277,,,,58.8199996948242,t,f,f,f,f
2025-10-06 07:04:00+00,44.528,,0,0.961882605583393,58.8649978637695,68,0.543096363544464,58.6399993896484,,,58.8199996948242,t,f,f,f,f
2025-10-06 07:06:00+00,44.528,,0,0.961882605583393,58.8649978637695,67.9749984741211,0.543096303939819,58.6399993896484,,,58.8199996948242,t,f,f,f,f
